DATE,CLOUDINESS,HUMIDITY,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECIPITATION
1951-01-02,7,94,17,9,14,25
1951-01-03,6,96,25,-18,3,0
1951-01-04,7,97,17,-10,10,17
1951-01-05,8,96,82,15,51,62
1951-01-06,8,89,87,60,69,13
1951-01-07,8,83,91,60,68,2
1951-01-08,7,95,74,39,63,29
1951-01-09,4,91,66,-1,42,26
1951-01-10,5,90,63,-10,26,32
1951-01-11,8,92,83,64,74,116
1951-01-12,4,88,73,19,41,28
1951-01-13,6,90,49,22,39,30
1951-01-14,6,92,66,19,46,26
1951-01-15,6,88,59,34,48,43
1951-01-16,5,92,72,19,42,0
1951-01-17,8,95,88,35,66,157
1951-01-18,7,86,80,50,66,104
1951-01-19,6,92,72,35,54,37
1951-01-20,8,97,73,47,58,27
1951-01-21,8,96,47,29,39,37
1951-01-22,8,98,77,42,65,14
1951-01-23,7,95,72,56,61,3
1951-01-24,3,92,62,2,30,0
1951-01-25,8,88,31,10,23,0
1951-01-26,8,93,36,9,24,0
1951-01-27,8,95,41,27,37,12
1951-01-28,8,94,34,22,28,0
1951-01-29,8,91,26,12,20,0
1951-01-30,8,94,22,9,17,0
1951-01-31,8,96,19,4,13,0
1951-02-01,7,96,28,1,14,0
1951-02-02,7,88,62,8,30,0
1951-02-03,8,91,38,8,27,1
1951-02-04,7,85,69,13,46,43
1951-02-05,3,81,82,19,49,2
1951-02-06,4,88,58,11,34,0
1951-02-07,4,93,48,5,27,4
1951-02-08,7,92,111,17,65,36
1951-02-09,5,81,118,39,80,16
1951-02-10,5,90,80,22,44,0
1951-02-11,6,95,44,17,31,13
1951-02-12,2,90,101,1,43,2
1951-02-13,6,89,64,21,40,52
1951-02-14,8,97,45,11,28,8
1951-02-15,8,88,47,19,35,0
1951-02-16,8,82,73,8,40,8
1951-02-17,7,92,83,27,57,118
1951-02-18,5,83,68,15,41,27
1951-02-19,5,86,71,26,43,51
1951-02-20,5,90,77,23,51,88
1951-02-21,7,86,73,17,43,76
1951-02-22,5,90,73,11,32,20
1951-02-23,6,88,69,28,44,5
1951-02-24,6,91,80,1,36,59
1951-02-25,6,85,103,-3,43,15
1951-02-26,5,89,62,-1,30,4
1951-02-27,4,84,57,-12,18,0
1951-02-28,5,88,51,-15,12,0
1951-03-01,7,90,38,-25,18,0
1951-03-02,6,84,41,-21,17,0
1951-03-03,1,82,21,-30,-6,0
1951-03-04,2,75,68,-41,5,0
1951-03-05,0,75,72,-52,1,1
1951-03-06,3,78,82,-32,18,1
1951-03-07,1,64,101,-17,43,0
1951-03-08,8,77,30,0,18,0
1951-03-09,8,81,13,-6,5,0
1951-03-10,8,86,26,-9,10,0
1951-03-11,8,80,107,29,56,10
1951-03-12,7,89,101,30,58,55
1951-03-13,6,78,156,43,93,50
1951-03-14,5,77,89,54,73,23
1951-03-15,5,80,100,23,68,1
1951-03-16,5,82,133,-8,73,36
1951-03-17,8,96,134,94,115,150
1951-03-18,7,83,115,68,92,19
1951-03-19,6,86,74,9,44,29
1951-03-20,3,77,63,-1,27,0
1951-03-21,4,70,83,-21,34,1
1951-03-22,8,86,93,12,52,37
1951-03-23,8,90,92,38,80,83
1951-03-24,6,86,60,9,34,78
1951-03-25,5,86,60,4,25,36
1951-03-26,7,80,73,20,41,156
1951-03-27,7,83,75,1,41,45
1951-03-28,5,84,59,-3,23,22
1951-03-29,5,90,59,-11,16,11
1951-03-30,5,86,70,-12,26,44
1951-03-31,7,77,70,5,41,0
1951-04-01,7,87,97,44,66,50
1951-04-02,6,84,83,39,63,28
1951-04-03,3,81,108,15,60,0
1951-04-04,5,87,97,30,64,119
1951-04-05,3,77,114,18,66,2
1951-04-06,7,89,114,23,75,63
1951-04-07,6,80,122,46,93,82
1951-04-08,4,82,95,31,53,20
1951-04-09,7,88,99,33,62,65
1951-04-10,8,90,64,41,55,108
1951-04-11,3,78,78,3,42,3
1951-04-12,6,79,110,-4,66,2
1951-04-13,7,84,97,39,71,41
1951-04-14,6,84,78,24,44,57
1951-04-15,3,72,114,-9,59,1
1951-04-16,6,81,119,37,73,32
1951-04-17,3,70,85,2,51,0
1951-04-18,4,71,142,-19,74,0
1951-04-19,4,71,115,24,77,0
1951-04-20,4,63,125,8,67,0
1951-04-21,3,69,80,18,52,0
1951-04-22,1,69,125,0,70,0
1951-04-23,2,60,179,13,100,0
1951-04-24,1,47,214,58,136,0
1951-04-25,0,54,239,52,154,0
1951-04-26,3,78,188,67,115,0
1951-04-27,8,78,89,59,69,13
1951-04-28,7,85,76,16,49,103
1951-04-29,4,82,91,-4,41,1
1951-04-30,2,70,123,-3,69,0
1951-05-01,2,60,164,11,105,0
1951-05-02,3,66,165,78,122,0
1951-05-03,4,63,208,82,144,0
1951-05-04,5,74,208,90,141,51
1951-05-05,5,79,155,60,116,1
1951-05-06,4,78,186,48,120,56
1951-05-07,7,85,142,88,112,0
1951-05-08,8,95,94,82,89,73
1951-05-09,8,88,114,81,97,8
1951-05-10,3,71,163,79,119,0
1951-05-11,2,70,152,65,111,0
1951-05-12,1,63,158,50,105,0
1951-05-13,6,80,137,29,86,0
1951-05-14,7,79,108,63,81,1
1951-05-15,8,85,113,63,85,12
1951-05-16,6,75,123,63,90,1
1951-05-17,4,69,156,61,114,10
1951-05-18,4,70,181,83,134,6
1951-05-19,3,62,230,92,165,0
1951-05-20,5,74,229,106,157,0
1951-05-21,6,88,150,67,112,60
1951-05-22,4,81,167,31,113,35
1951-05-23,6,71,194,90,141,0
1951-05-24,5,75,229,90,157,25
1951-05-25,6,92,161,80,134,57
1951-05-26,5,89,186,48,135,55
1951-05-27,6,77,159,97,133,0
1951-05-28,8,84,157,91,120,28
1951-05-29,4,67,152,68,116,0
1951-05-30,1,57,162,49,112,0
1951-05-31,1,56,191,57,134,0
1951-06-01,0,56,218,70,155,0
1951-06-02,2,68,220,85,157,0
1951-06-03,4,75,193,108,147,0
1951-06-04,3,70,210,97,148,0
1951-06-05,3,77,207,109,150,0
1951-06-06,2,71,208,100,150,0
1951-06-07,4,69,163,82,127,0
1951-06-08,2,66,214,66,148,0
1951-06-09,4,61,218,97,160,0
1951-06-10,5,74,175,110,143,3
1951-06-11,4,70,218,101,159,0
1951-06-12,5,82,199,117,160,41
1951-06-13,7,79,184,132,154,1
1951-06-14,2,67,254,120,191,0
1951-06-15,4,84,194,95,156,15
1951-06-16,4,72,227,75,161,0
1951-06-17,5,64,240,110,167,0
1951-06-18,5,74,185,76,140,0
1951-06-19,3,76,182,58,129,10
1951-06-20,1,65,215,49,147,0
1951-06-21,3,63,251,99,188,0
1951-06-22,6,82,207,144,169,12
1951-06-23,8,90,189,135,161,104
1951-06-24,8,86,162,114,138,28
1951-06-25,6,73,200,103,151,1
1951-06-26,7,87,157,105,122,142
1951-06-27,8,93,135,98,125,30
1951-06-28,7,85,160,94,133,0
1951-06-29,7,71,171,90,130,0
1951-06-30,5,72,162,80,127,0
1951-07-01,2,73,211,60,144,0
1951-07-02,2,75,228,85,171,0
1951-07-03,7,81,228,126,178,6
1951-07-04,7,89,184,104,145,120
1951-07-05,5,71,164,86,131,0
1951-07-06,7,78,207,76,157,0
1951-07-07,4,77,223,127,174,0
1951-07-08,5,86,236,104,170,135
1951-07-09,6,83,208,144,171,5
1951-07-10,7,88,219,155,182,21
1951-07-11,6,91,225,149,182,27
1951-07-12,5,75,202,132,165,1
1951-07-13,4,73,194,94,157,1
1951-07-14,6,82,191,75,144,29
1951-07-15,7,81,172,115,138,15
1951-07-16,2,74,208,86,150,0
1951-07-17,2,76,228,85,170,0
1951-07-18,7,86,193,97,153,1
1951-07-19,4,67,214,68,154,0
1951-07-20,7,79,203,100,168,0
1951-07-21,3,70,210,98,157,0
1951-07-22,3,72,249,108,182,18
1951-07-23,6,81,219,145,176,4
1951-07-24,8,91,172,142,152,9
1951-07-25,8,92,158,138,148,10
1951-07-26,5,77,209,119,161,1
1951-07-27,6,76,227,107,171,0
1951-07-28,3,71,251,120,184,0
1951-07-29,6,78,219,116,176,0
1951-07-30,1,63,250,127,193,0
1951-07-31,5,79,280,149,208,42
1951-08-01,7,86,242,178,206,71
1951-08-02,5,74,241,163,196,0
1951-08-03,4,74,260,123,197,6
1951-08-04,7,90,218,164,186,143
1951-08-05,6,86,209,129,166,25
1951-08-06,5,78,243,124,186,108
1951-08-07,5,82,216,137,171,26
1951-08-08,6,88,210,128,160,44
1951-08-09,8,94,183,136,153,301
1951-08-10,6,87,173,93,144,5
1951-08-11,7,85,173,93,145,16
1951-08-12,6,88,185,115,148,100
1951-08-13,5,86,169,101,134,77
1951-08-14,6,86,179,102,140,14
1951-08-15,5,81,178,80,139,14
1951-08-16,5,83,189,61,129,0
1951-08-17,6,86,203,62,139,27
1951-08-18,5,84,216,117,162,1
1951-08-19,7,87,211,115,169,27
1951-08-20,6,86,200,100,157,1
1951-08-21,4,84,214,87,151,0
1951-08-22,6,83,217,105,163,3
1951-08-23,4,84,207,92,161,4
1951-08-24,5,82,223,92,167,0
1951-08-25,6,80,196,111,153,0
1951-08-26,5,83,191,99,142,15
1951-08-27,6,84,182,108,142,10
1951-08-28,8,93,193,129,167,53
1951-08-29,4,84,218,130,169,35
1951-08-30,5,87,235,139,181,39
1951-08-31,4,88,201,105,147,46
1951-09-01,5,84,185,123,150,46
1951-09-02,6,86,187,127,154,118
1951-09-03,4,85,197,104,153,10
1951-09-04,7,89,201,107,171,2
1951-09-05,4,86,255,179,206,0
1951-09-06,0,82,255,147,197,0
1951-09-07,7,92,200,151,174,0
1951-09-08,6,80,187,138,164,0
1951-09-09,1,81,229,120,174,0
1951-09-10,2,85,258,150,203,0
1951-09-11,6,94,212,156,184,23
1951-09-12,6,88,263,161,209,12
1951-09-13,6,85,263,155,200,27
1951-09-14,5,81,188,122,152,0
1951-09-15,5,79,209,109,159,11
1951-09-16,6,81,186,101,145,44
1951-09-17,5,89,159,92,119,17
1951-09-18,7,89,150,92,125,44
1951-09-19,6,93,139,80,112,114
1951-09-20,6,86,144,64,107,5
1951-09-21,5,81,146,67,104,0
1951-09-22,3,76,183,44,120,0
1951-09-23,8,87,177,113,147,29
1951-09-24,4,85,171,108,136,11
1951-09-25,3,82,200,96,145,0
1951-09-26,6,94,155,102,130,24
1951-09-27,7,89,172,115,142,0
1951-09-28,6,92,169,99,134,55
1951-09-29,1,91,176,62,123,1
1951-09-30,4,92,164,95,124,1
1951-10-01,4,84,170,101,131,0
1951-10-02,5,83,160,95,125,0
1951-10-03,0,77,174,62,113,0
1951-10-04,0,83,193,61,118,0
1951-10-05,0,84,170,44,109,0
1951-10-06,0,78,161,66,109,0
1951-10-07,1,83,139,28,78,0
1951-10-08,0,80,144,13,75,1
1951-10-09,0,73,153,29,88,1
1951-10-10,0,72,150,23,82,0
1951-10-11,2,71,144,23,79,0
1951-10-12,0,76,141,24,82,0
1951-10-13,2,75,171,43,101,0
1951-10-14,1,77,194,58,115,0
1951-10-15,0,83,150,25,80,0
1951-10-16,0,79,165,10,74,0
1951-10-17,3,89,150,-13,66,0
1951-10-18,5,86,124,41,91,10
1951-10-19,5,93,90,11,54,0
1951-10-20,7,93,123,55,77,0
1951-10-21,7,92,112,42,81,66
1951-10-22,2,87,106,-2,61,0
1951-10-23,2,90,105,-21,48,1
1951-10-24,1,87,101,6,51,3
1951-10-25,0,88,100,19,56,0
1951-10-26,5,90,104,33,74,0
1951-10-27,1,85,141,34,82,1
1951-10-28,4,85,129,57,94,0
1951-10-29,3,88,142,79,103,5
1951-10-30,7,96,122,67,98,43
1951-10-31,8,97,111,74,93,13
1951-11-01,5,95,122,22,73,1
1951-11-02,7,94,108,21,76,48
1951-11-03,5,91,100,20,64,22
1951-11-04,4,86,92,11,55,2
1951-11-05,6,68,126,69,94,0
1951-11-06,5,80,122,76,97,8
1951-11-07,5,96,134,72,103,95
1951-11-08,6,90,131,76,105,0
1951-11-09,5,88,139,72,108,0
1951-11-10,6,82,124,78,112,7
1951-11-11,4,88,143,61,101,39
1951-11-12,6,97,83,44,68,0
1951-11-13,8,95,108,76,88,59
1951-11-14,7,95,96,56,82,50
1951-11-15,8,97,112,50,83,24
1951-11-16,8,93,120,80,101,79
1951-11-17,7,93,113,81,97,6
1951-11-18,7,89,135,85,111,2
1951-11-19,7,92,115,81,92,12
1951-11-20,5,91,85,61,76,0
1951-11-21,6,92,103,67,84,157
1951-11-22,5,93,90,56,68,179
1951-11-23,8,96,73,40,62,5
1951-11-24,8,93,136,73,119,85
1951-11-25,5,96,118,22,70,137
1951-11-26,3,88,81,17,42,9
1951-11-27,6,88,95,20,64,1
1951-11-28,7,84,87,39,71,41
1951-11-29,6,85,100,48,70,51
1951-11-30,7,87,105,88,96,1
1951-12-01,3,84,104,25,74,0
1951-12-02,3,90,78,20,43,0
1951-12-03,3,86,83,11,41,11
1951-12-04,7,89,114,50,92,30
1951-12-05,7,84,104,85,94,0
1951-12-06,7,95,87,27,58,84
1951-12-07,3,92,72,11,37,3
1951-12-08,8,87,84,41,67,44
